SupplierID,SupplierName,EvaluationDate,EvaluationPeriod,QualityScore,DeliveryScore,CostScore,InnovationScore,ResponsivenessScore,SustainabilityScore,OverallScore,Category,BusinessUnit,Evaluator,Comments,ImprovementPlan,NextReviewDate,TrendIndicator
TW_SUP_0030,Cyber Taylor Systems,2023-07-29,Q3 2022,3,8,9,4,6,6,6.2,Professional Services,"Health, Safety & Environment",Barbara White,Standard service with occasional quality concerns.,Formal improvement plan with 90-day reassessment,2023-11-09,Improving
TW_SUP_0136,Aqua Thomas Consulting,2023-08-01,Q3 2022,5,6,4,6,8,9,5.9,Waste Management & Sludge Treatment,Wastewater Collection & Treatment,Matthew Moore,Meets contractual obligations with little additional value.,Monthly executive reviews until performance stabilizes,2023-11-04,Stable
TW_SUP_0011,Tech Martin Solutions,2023-12-18,Q1 2023,4,4,4,5,10,6,4.9,Water Treatment Plant Operations,Network Operations & Maintenance,Daniel White,Frequent service delivery issues requiring intervention.,Supplier development program participation required,2024-05-06,Declining
TW_SUP_0042,Southern Taylor Ltd,2025-02-26,Q2 2024,6,10,5,9,4,8,7.1,Facilities Management,IT & Digital Transformation,Joseph Green,Consistently meets requirements with some areas of strength.,None required - continue current approach,2025-08-13,Stable
TW_SUP_0045,Tech Thomas Ltd,2023-09-25,Q4 2022,9,9,9,10,4,2,7.9,IT & Technology Solutions,Procurement & Supply Chain,Sandra Rodriguez,Reliable performance with occasional excellence in key areas.,Corrective action required within 60 days,2024-01-11,Improving
TW_SUP_0006,Severn Rodriguez Solutions,2023-10-25,Q4 2022,4,9,7,5,9,2,6.3,Leakage Detection Services,"Health, Safety & Environment",Mary Moore,Meets contractual obligations with little additional value.,Formal improvement plan with 90-day reassessment,2024-03-02,Declining
TW_SUP_0133,Data Brown Dynamics,2025-04-30,Q2 2024,6,3,6,5,10,2,5.2,IT & Technology Solutions,Network Operations & Maintenance,William Hall,Acceptable performance with some service delivery issues.,Corrective action required within 60 days,2025-09-29,Declining
TW_SUP_0020,Pipe Scott Systems,2023-08-14,Q3 2022,8,7,6,6,4,10,7.0,Water Treatment Plant Operations,Capital Delivery Programmes,Elizabeth Thompson,Reliable performance with occasional excellence in key areas.,No improvement plan needed - performance exceeds requirements,2023-12-01,Stable
TW_SUP_0074,Severn Taylor PLC,2023-09-19,Q4 2022,7,3,6,3,5,3,4.8,Research & Development,Finance & Regulation,Charles Lewis,Inconsistent quality and reliability causing operational impacts.,Weekly performance review meetings for 3 months,2024-01-02,Significantly Declining
TW_SUP_0035,Hydro White Ltd,2024-09-26,Q4 2023,10,10,8,4,9,3,8.2,Facilities Management,Water Production & Treatment,Matthew Smith,Reliable performance with occasional excellence in key areas.,Formal improvement plan with 90-day reassessment,2025-03-21,Stable
TW_SUP_0089,Clear Scott Services,2024-07-13,Q3 2023,10,4,9,8,9,9,7.9,Waste Management & Sludge Treatment,IT & Digital Transformation,Robert Harris,Solid service delivery with good communication.,No improvement plan needed - performance exceeds requirements,2024-11-25,Stable
TW_SUP_0096,Tech Walker Services,2024-11-15,Q4 2023,5,7,10,3,10,3,6.6,Mechanical & Electrical Engineering,"Health, Safety & Environment",Michael White,Adequate performance but minimal value-added contributions.,Formal improvement plan with 90-day reassessment,2025-03-02,Declining
TW_SUP_0018,Hydro Rodriguez Systems,2024-01-04,Q1 2023,5,8,10,5,10,2,7.0,Water Treatment Plant Operations,Capital Delivery Programmes,Patricia Harris,Solid service delivery with good communication.,No improvement plan needed - performance exceeds requirements,2024-04-08,Improving
TW_SUP_0126,Kennet Jones Dynamics,2024-04-24,Q2 2023,5,9,9,10,6,7,7.6,Customer Service Solutions,Finance & Regulation,Nancy Brown,Good overall performance with room for improvement in innovation.,No improvement plan needed - performance exceeds requirements,2024-08-28,Improving
TW_SUP_0075,Kennet Williams PLC,2023-12-17,Q1 2023,5,6,5,3,5,5,5.0,Renewable Energy Solutions,Water Production & Treatment,Christopher Green,Meets contractual obligations with little additional value.,Supplier development program participation required,2024-04-26,Declining
TW_SUP_0005,Thames Martinez Solutions,2023-08-06,Q3 2022,4,10,7,10,8,2,6.9,Pipeline & Network Maintenance,Finance & Regulation,Mary Garcia,Standard service with occasional quality concerns.,Corrective action required within 60 days,2023-11-11,Stable
TW_SUP_0111,UK Williams Engineering,2024-04-23,Q2 2023,6,7,9,5,5,3,6.3,Facilities Management,Asset Management Strategy,Sarah Robinson,Adequate performance but minimal value-added contributions.,Monthly executive reviews until performance stabilizes,2024-10-19,Improving
TW_SUP_0124,Thames Walker Dynamics,2024-06-19,Q3 2023,8,8,8,10,5,7,7.8,Research & Development,Capital Delivery Programmes,James Jones,Good overall performance with room for improvement in innovation.,No improvement plan needed - performance exceeds requirements,2024-09-24,Stable
TW_SUP_0106,Clear Clark Engineering,2025-03-19,Q2 2024,3,7,8,8,6,7,6.2,Civil Engineering & Construction,Capital Delivery Programmes,Robert Garcia,Meets contractual obligations with little additional value.,Corrective action required within 60 days,2025-07-19,Declining
TW_SUP_0016,Chem Jones Solutions,2023-07-16,Q3 2022,5,9,3,7,10,3,6.1,Waste Management & Sludge Treatment,Water Production & Treatment,Susan Harris,Meets contractual obligations with little additional value.,Monthly executive reviews until performance stabilizes,2023-12-21,Declining
TW_SUP_0007,Kennet Jackson Solutions,2023-07-16,Q3 2022,8,8,9,8,7,8,8.1,Professional Services,Procurement & Supply Chain,Jessica Rodriguez,Dependable supplier with strong operational delivery.,Supplier development program participation required,2023-12-13,Stable
TW_SUP_0124,Thames Green Dynamics,2024-06-17,Q3 2023,5,5,10,7,6,4,6.2,Heavy Plant & Equipment Hire,Finance & Regulation,Christopher Green,Adequate performance but minimal value-added contributions.,Supplier development program participation required,2024-11-15,Stable
TW_SUP_0084,Chem Smith PLC,2024-12-07,Q1 2024,9,7,10,9,10,6,8.5,Water Treatment Plant Operations,Finance & Regulation,Karen Robinson,Proactive partner delivering significant value above contract requirements.,None required - continue current approach,2025-06-03,Improving
TW_SUP_0118,Chem Davis Engineering,2024-04-30,Q2 2023,7,6,8,6,7,10,7.1,Chemicals Supply,Customer Operations & Retail,Robert Miller,Reliable performance with occasional excellence in key areas.,Joint process improvement workshops scheduled,2024-08-02,Declining
TW_SUP_0057,Severn Green Group,2024-01-31,Q1 2023,9,8,5,3,3,9,6.8,Mechanical & Electrical Engineering,"Health, Safety & Environment",Daniel Lee,Meets contractual obligations with little additional value.,Supplier development program participation required,2024-07-09,Declining
TW_SUP_0086,Hydro Anderson Services,2023-07-06,Q3 2022,10,5,9,7,6,9,7.8,Professional Services,Procurement & Supply Chain,Anthony Garcia,Solid service delivery with good communication.,No improvement plan needed - performance exceeds requirements,2023-12-18,Declining
TW_SUP_0099,Data Lee Services,2024-11-18,Q4 2023,5,6,8,10,4,4,6.2,Facilities Management,Customer Operations & Retail,Michael Lewis,Meets basic requirements but lacks consistency.,Supplier development program participation required,2025-03-06,Stable
TW_SUP_0071,Pipe Anderson PLC,2024-08-26,Q3 2023,7,5,3,9,3,7,5.5,Waste Management & Sludge Treatment,Capital Delivery Programmes,Richard Martin,Acceptable performance with some service delivery issues.,Monthly executive reviews until performance stabilizes,2024-12-28,Stable
TW_SUP_0106,Clear Smith Engineering,2024-08-28,Q4 2023,6,9,10,2,4,2,6.6,Customer Service Solutions,Human Resources,Daniel Wilson,Meets contractual obligations with little additional value.,Weekly performance review meetings for 3 months,2025-01-07,Stable
TW_SUP_0025,Southern Taylor Systems,2023-06-10,Q3 2022,6,4,5,5,4,5,4.9,Professional Services,Wastewater Collection & Treatment,John Robinson,Inconsistent quality and reliability causing operational impacts.,Weekly performance review meetings for 3 months,2023-10-09,Significantly Declining
TW_SUP_0132,Cyber Brown Dynamics,2025-02-22,Q1 2024,9,5,7,8,4,4,6.5,Pipeline & Network Maintenance,Finance & Regulation,Jessica Moore,Adequate performance but minimal value-added contributions.,Formal improvement plan with 90-day reassessment,2025-07-07,Stable
TW_SUP_0145,UK Thompson Consulting,2023-11-11,Q4 2022,4,8,3,4,3,2,4.5,Leakage Detection Services,Network Operations & Maintenance,Karen Scott,Frequent service delivery issues requiring intervention.,Formal improvement plan with 90-day reassessment,2024-03-30,Significantly Declining
TW_SUP_0067,Chem Williams Group,2025-02-20,Q1 2024,6,10,9,3,5,8,7.4,Waste Management & Sludge Treatment,Asset Management Strategy,Barbara Rodriguez,Consistently meets requirements with some areas of strength.,Joint process improvement workshops scheduled,2025-05-27,Stable
TW_SUP_0068,Aqua Davis PLC,2023-06-01,Q3 2022,8,9,7,9,6,8,8.0,Customer Service Solutions,Finance & Regulation,Jennifer King,Dependable supplier with strong operational delivery.,Corrective action required within 60 days,2023-10-11,Improving
TW_SUP_0056,Thames Martin Group,2025-03-16,Q2 2024,10,5,10,8,4,2,7.2,Heavy Plant & Equipment Hire,Finance & Regulation,Mary Williams,Consistently meets requirements with some areas of strength.,Joint process improvement workshops scheduled,2025-07-09,Declining
TW_SUP_0055,Clear Lewis Group,2025-02-05,Q1 2024,7,6,5,4,6,2,5.5,Professional Services,Wastewater Collection & Treatment,Sarah Miller,Acceptable performance with some service delivery issues.,Weekly performance review meetings for 3 months,2025-06-07,Stable
TW_SUP_0086,Hydro Lee Services,2024-07-17,Q3 2023,6,6,3,4,3,7,5.0,Leakage Detection Services,Capital Delivery Programmes,William Thomas,Meets contractual obligations with little additional value.,Supplier development program participation required,2024-12-20,Stable
TW_SUP_0019,Flow Miller Systems,2023-12-30,Q1 2023,4,7,9,6,7,4,6.3,Leakage Detection Services,Water Production & Treatment,Matthew Rodriguez,Meets basic requirements but lacks consistency.,Supplier development program participation required,2024-06-11,Declining
TW_SUP_0039,Thames Hall Ltd,2024-05-08,Q2 2023,4,5,9,9,4,8,6.2,IT & Technology Solutions,Customer Operations & Retail,Patricia Scott,Acceptable performance with some service delivery issues.,Joint process improvement workshops scheduled,2024-10-15,Declining
TW_SUP_0129,London Johnson Dynamics,2023-11-11,Q4 2022,7,9,8,2,10,5,7.3,Leakage Detection Services,Wastewater Collection & Treatment,Thomas Scott,Solid service delivery with good communication.,No improvement plan needed - performance exceeds requirements,2024-04-02,Stable
TW_SUP_0114,Digital Jackson Engineering,2023-12-23,Q1 2023,10,4,10,5,4,6,7.0,Heavy Plant & Equipment Hire,Asset Management Strategy,Matthew Jackson,Dependable supplier with strong operational delivery.,No improvement plan needed - performance exceeds requirements,2024-03-27,Stable
TW_SUP_0128,UK Lee Dynamics,2023-06-29,Q3 2022,8,8,5,3,10,9,7.2,Leakage Detection Services,Asset Management Strategy,William Brown,Consistently meets requirements with some areas of strength.,Weekly performance review meetings for 3 months,2023-10-04,Stable
TW_SUP_0025,Southern Johnson Systems,2023-05-31,Q3 2022,9,7,5,8,5,2,6.5,Professional Services,Water Production & Treatment,Barbara Rodriguez,Adequate performance but minimal value-added contributions.,Delivery process review and optimization,2023-10-26,Stable
TW_SUP_0016,Chem Thompson Solutions,2024-12-19,Q1 2024,5,6,3,9,6,8,5.6,Professional Services,Asset Management Strategy,Betty Harris,Acceptable performance with some service delivery issues.,Corrective action required within 60 days,2025-05-04,Declining
TW_SUP_0116,Data Lee Engineering,2024-07-13,Q3 2023,7,4,8,3,10,9,6.5,Civil Engineering & Construction,IT & Digital Transformation,Linda Robinson,Adequate performance but minimal value-added contributions.,Corrective action required within 60 days,2024-11-22,Stable
TW_SUP_0018,Hydro Jackson Systems,2025-03-24,Q2 2024,8,8,8,4,3,4,6.7,Chemicals Supply,Procurement & Supply Chain,Lisa Martinez,Acceptable performance with some service delivery issues.,Delivery process review and optimization,2025-09-19,Stable
TW_SUP_0129,London Jackson Dynamics,2024-07-03,Q3 2023,5,5,8,8,3,2,5.4,Civil Engineering & Construction,Procurement & Supply Chain,Elizabeth Lee,Meets contractual obligations with little additional value.,Supplier development program participation required,2024-12-26,Improving
TW_SUP_0129,London Miller Dynamics,2025-03-26,Q2 2024,9,5,4,8,3,9,6.3,Leakage Detection Services,Capital Delivery Programmes,Jennifer Young,Meets basic requirements but lacks consistency.,Supplier development program participation required,2025-09-01,Improving
TW_SUP_0150,Data Smith Consulting,2024-09-15,Q4 2023,7,8,10,3,10,3,7.3,Mechanical & Electrical Engineering,Strategic Resource Planning,Richard Robinson,Good overall performance with room for improvement in innovation.,No improvement plan needed - performance exceeds requirements,2024-12-18,Stable
TW_SUP_0076,Southern Thompson PLC,2025-04-09,Q2 2024,3,10,10,5,9,2,6.9,Waste Management & Sludge Treatment,Capital Delivery Programmes,Charles White,Adequate performance but minimal value-added contributions.,Delivery process review and optimization,2025-09-15,Stable
TW_SUP_0044,London Garcia Ltd,2024-12-30,Q1 2024,4,8,4,3,6,6,5.3,Chemicals Supply,Finance & Regulation,Betty White,Standard service with occasional quality concerns.,Supplier development program participation required,2025-05-16,Improving
TW_SUP_0074,Severn Lewis PLC,2024-07-31,Q3 2023,4,6,3,10,7,8,5.6,Chemicals Supply,Customer Operations & Retail,Matthew Martinez,Adequate performance but minimal value-added contributions.,Corrective action required within 60 days,2024-12-26,Stable
TW_SUP_0001,Hydro Young Solutions,2024-04-11,Q2 2023,8,3,4,3,4,7,5.0,Pipeline & Network Maintenance,Asset Management Strategy,Charles Wilson,Acceptable performance with some service delivery issues.,Weekly performance review meetings for 3 months,2024-09-08,Stable
TW_SUP_0129,London Young Dynamics,2024-12-02,Q1 2024,7,6,9,5,10,7,7.2,Research & Development,Water Production & Treatment,Mark Williams,Reliable performance with occasional excellence in key areas.,No improvement plan needed - performance exceeds requirements,2025-05-20,Improving
TW_SUP_0060,UK Rodriguez Group,2023-09-28,Q4 2022,8,5,4,10,7,7,6.5,Waste Management & Sludge Treatment,Network Operations & Maintenance,Margaret Taylor,Adequate performance but minimal value-added contributions.,Weekly performance review meetings for 3 months,2024-03-22,Declining
TW_SUP_0001,Hydro Wilson Solutions,2023-05-28,Q3 2022,9,9,9,9,8,6,8.6,Research & Development,Strategic Resource Planning,Margaret Jones,"Outstanding performance, a truly strategic partner.",None required - continue current approach,2023-10-04,Improving
TW_SUP_0075,Kennet Smith PLC,2024-03-07,Q2 2023,3,3,8,7,10,4,5.2,Renewable Energy Solutions,Water Production & Treatment,Anthony Lee,Adequate performance but minimal value-added contributions.,Supplier development program participation required,2024-06-13,Stable
TW_SUP_0138,Flow Martin Consulting,2023-08-17,Q3 2022,5,9,4,2,5,5,5.5,Renewable Energy Solutions,"Health, Safety & Environment",Matthew Walker,Meets basic requirements but lacks consistency.,Supplier development program participation required,2023-12-20,Improving
TW_SUP_0093,Southern Allen Services,2024-12-11,Q1 2024,4,3,4,10,7,5,4.8,Renewable Energy Solutions,Wastewater Collection & Treatment,Elizabeth White,Multiple performance failures requiring formal improvement plan.,Weekly performance review meetings for 3 months,2025-05-23,Declining
TW_SUP_0074,Severn Brown PLC,2024-11-05,Q4 2023,6,3,8,5,3,9,5.5,Leakage Detection Services,Finance & Regulation,Elizabeth Rodriguez,Acceptable performance with some service delivery issues.,Formal improvement plan with 90-day reassessment,2025-02-26,Declining
TW_SUP_0132,Cyber Hall Dynamics,2025-05-14,Q2 2024,5,8,10,10,10,4,7.7,Pipeline & Network Maintenance,Network Operations & Maintenance,Elizabeth Young,Dependable supplier with strong operational delivery.,Joint process improvement workshops scheduled,2025-09-07,Stable
TW_SUP_0150,Data Hall Consulting,2025-05-15,Q2 2024,10,7,6,4,5,3,6.7,Waste Management & Sludge Treatment,Capital Delivery Programmes,Jessica Jones,Meets basic requirements but lacks consistency.,Joint process improvement workshops scheduled,2025-10-25,Declining
TW_SUP_0065,Data Garcia Group,2025-02-26,Q2 2024,5,9,3,10,5,9,6.5,Pipeline & Network Maintenance,Finance & Regulation,Joseph Rodriguez,Meets contractual obligations with little additional value.,Delivery process review and optimization,2025-07-07,Declining
TW_SUP_0025,Southern Davis Systems,2024-01-29,Q1 2023,10,10,9,5,5,5,8.3,Civil Engineering & Construction,Procurement & Supply Chain,Anthony Young,Dependable supplier with strong operational delivery.,Supplier development program participation required,2024-05-11,Declining
TW_SUP_0113,Tech Taylor Engineering,2024-10-22,Q4 2023,3,3,4,7,6,8,4.4,Mechanical & Electrical Engineering,Human Resources,Mary Jackson,Poor response times and inadequate problem resolution.,Quality management system review,2025-03-18,Stable
TW_SUP_0089,Clear Smith Services,2024-09-03,Q4 2023,9,5,8,5,10,2,6.8,Customer Service Solutions,Capital Delivery Programmes,Mary Thompson,Adequate performance but minimal value-added contributions.,Weekly performance review meetings for 3 months,2025-02-23,Improving
TW_SUP_0056,Thames Taylor Group,2023-09-17,Q4 2022,5,3,5,7,9,6,5.2,Chemicals Supply,Capital Delivery Programmes,Thomas Rodriguez,Standard service with occasional quality concerns.,Formal improvement plan with 90-day reassessment,2024-03-08,Declining
TW_SUP_0144,Southern King Consulting,2024-10-21,Q4 2023,3,10,5,8,6,7,6.4,Pipeline & Network Maintenance,Human Resources,David Wilson,Acceptable performance with some service delivery issues.,Formal improvement plan with 90-day reassessment,2025-03-14,Stable
TW_SUP_0102,Aqua Young Engineering,2024-04-03,Q2 2023,8,5,4,3,8,4,5.5,Waste Management & Sludge Treatment,IT & Digital Transformation,Richard Allen,Meets contractual obligations with little additional value.,Supplier development program participation required,2024-09-28,Declining
TW_SUP_0118,Chem Miller Engineering,2024-04-13,Q2 2023,10,3,5,9,5,6,6.2,Research & Development,Procurement & Supply Chain,Margaret Robinson,Meets basic requirements but lacks consistency.,Joint process improvement workshops scheduled,2024-07-29,Declining
TW_SUP_0009,UK Moore Solutions,2024-04-14,Q2 2023,7,10,3,6,9,9,7.2,Renewable Energy Solutions,Wastewater Collection & Treatment,John Allen,Reliable performance with occasional excellence in key areas.,Weekly performance review meetings for 3 months,2024-10-07,Stable
TW_SUP_0143,Kennet Hall Consulting,2024-06-16,Q3 2023,4,7,5,10,6,8,6.1,Facilities Management,Water Production & Treatment,Michael King,Standard service with occasional quality concerns.,Delivery process review and optimization,2024-11-07,Declining
TW_SUP_0074,Severn Young PLC,2024-10-20,Q4 2023,3,4,9,5,10,10,6.0,IT & Technology Solutions,IT & Digital Transformation,Sandra Brown,Standard service with occasional quality concerns.,Formal improvement plan with 90-day reassessment,2025-02-13,Stable
TW_SUP_0009,UK Clark Solutions,2023-08-18,Q3 2022,10,9,6,8,8,5,8.1,Renewable Energy Solutions,Human Resources,Charles Robinson,Dependable supplier with strong operational delivery.,No improvement plan needed - performance exceeds requirements,2023-11-18,Stable
TW_SUP_0135,Chem Allen Dynamics,2024-09-08,Q4 2023,8,10,10,2,6,5,7.8,Research & Development,Strategic Resource Planning,Karen Robinson,Good overall performance with room for improvement in innovation.,Weekly performance review meetings for 3 months,2025-02-21,Stable
TW_SUP_0002,Flow Smith Solutions,2024-07-25,Q3 2023,3,4,3,2,3,7,3.6,Waste Management & Sludge Treatment,Wastewater Collection & Treatment,Lisa Green,Multiple performance failures requiring formal improvement plan.,Weekly performance review meetings for 3 months,2024-11-28,Stable
TW_SUP_0145,UK Young Consulting,2023-10-15,Q4 2022,10,9,10,2,7,7,8.3,Facilities Management,Asset Management Strategy,John Rodriguez,Reliable performance with occasional excellence in key areas.,Weekly performance review meetings for 3 months,2024-02-03,Stable
TW_SUP_0145,UK Lee Consulting,2023-11-02,Q4 2022,10,5,4,2,9,4,6.1,Professional Services,"Health, Safety & Environment",Jessica Rodriguez,Acceptable performance with some service delivery issues.,Supplier development program participation required,2024-04-12,Stable
TW_SUP_0097,Digital Garcia Services,2024-04-08,Q2 2023,7,10,6,10,9,5,7.9,Customer Service Solutions,Strategic Resource Planning,Michael Harris,Solid service delivery with good communication.,Supplier development program participation required,2024-09-11,Improving
TW_SUP_0147,Tech Harris Consulting,2025-03-12,Q2 2024,6,10,5,10,5,2,6.7,Water Treatment Plant Operations,Network Operations & Maintenance,Jennifer Hall,Standard service with occasional quality concerns.,Formal improvement plan with 90-day reassessment,2025-07-12,Stable
TW_SUP_0102,Aqua Miller Engineering,2024-11-05,Q4 2023,7,10,9,3,4,8,7.5,Professional Services,Procurement & Supply Chain,Daniel White,Dependable supplier with strong operational delivery.,Joint process improvement workshops scheduled,2025-03-18,Stable
TW_SUP_0009,UK Walker Solutions,2025-04-14,Q2 2024,5,5,8,7,4,3,5.5,Professional Services,IT & Digital Transformation,Nancy Brown,Standard service with occasional quality concerns.,Weekly performance review meetings for 3 months,2025-08-17,Improving
TW_SUP_0002,Flow King Solutions,2025-05-10,Q2 2024,5,9,10,10,3,8,7.6,Mechanical & Electrical Engineering,Asset Management Strategy,James Scott,Solid service delivery with good communication.,No improvement plan needed - performance exceeds requirements,2025-10-17,Stable
TW_SUP_0108,Severn Thomas Engineering,2024-10-24,Q4 2023,7,8,10,5,9,7,7.9,Research & Development,Finance & Regulation,Sarah Martin,Reliable performance with occasional excellence in key areas.,No improvement plan needed - performance exceeds requirements,2025-03-02,Stable
TW_SUP_0025,Southern Thomas Systems,2025-04-29,Q2 2024,9,10,10,9,5,10,9.2,Mechanical & Electrical Engineering,Wastewater Collection & Treatment,Karen Green,"Outstanding performance, a truly strategic partner.",None required - continue current approach,2025-07-30,Improving
TW_SUP_0022,Thames Brown Systems,2024-03-28,Q2 2023,7,7,9,10,5,10,7.8,Waste Management & Sludge Treatment,Asset Management Strategy,Linda Thomas,Good overall performance with room for improvement in innovation.,Monthly executive reviews until performance stabilizes,2024-07-22,Improving
TW_SUP_0011,Tech Moore Solutions,2023-07-09,Q3 2022,5,7,4,2,9,10,5.9,Civil Engineering & Construction,Procurement & Supply Chain,Matthew Taylor,Standard service with occasional quality concerns.,Monthly executive reviews until performance stabilizes,2023-12-15,Improving
TW_SUP_0064,Cyber Robinson Group,2024-01-16,Q1 2023,10,10,8,9,4,2,8.1,Leakage Detection Services,Wastewater Collection & Treatment,David Jones,Good overall performance with room for improvement in innovation.,Supplier development program participation required,2024-04-18,Improving
TW_SUP_0148,Digital Hall Consulting,2024-06-28,Q3 2023,5,5,7,4,10,9,6.2,Renewable Energy Solutions,IT & Digital Transformation,James Miller,Standard service with occasional quality concerns.,Monthly executive reviews until performance stabilizes,2024-12-18,Stable
TW_SUP_0126,Kennet Anderson Dynamics,2024-11-14,Q4 2023,10,4,8,2,3,8,6.4,Water Treatment Plant Operations,Strategic Resource Planning,Richard Clark,Adequate performance but minimal value-added contributions.,Supplier development program participation required,2025-05-06,Improving
TW_SUP_0117,Enviro Wright Engineering,2024-07-23,Q3 2023,3,7,4,6,10,9,5.8,Facilities Management,Procurement & Supply Chain,Robert Miller,Acceptable performance with some service delivery issues.,Corrective action required within 60 days,2024-11-17,Stable
TW_SUP_0114,Digital Lee Engineering,2024-12-09,Q1 2024,8,7,3,2,6,4,5.6,Customer Service Solutions,Procurement & Supply Chain,Sandra Davis,Meets basic requirements but lacks consistency.,Formal improvement plan with 90-day reassessment,2025-04-12,Stable
TW_SUP_0090,Thames Allen Services,2024-02-24,Q1 2023,10,6,3,5,9,2,6.2,Water Treatment Plant Operations,Human Resources,Joseph Thomas,Acceptable performance with some service delivery issues.,Weekly performance review meetings for 3 months,2024-08-10,Stable
TW_SUP_0077,UK Lewis PLC,2024-07-27,Q3 2023,3,6,7,9,3,2,5.1,Mechanical & Electrical Engineering,Capital Delivery Programmes,David Wright,Meets contractual obligations with little additional value.,Monthly executive reviews until performance stabilizes,2025-01-22,Stable
TW_SUP_0015,Enviro Lewis Solutions,2024-12-15,Q1 2024,8,3,9,10,6,9,7.1,Waste Management & Sludge Treatment,Capital Delivery Programmes,Nancy Taylor,Consistently meets requirements with some areas of strength.,No improvement plan needed - performance exceeds requirements,2025-03-27,Improving
TW_SUP_0083,Enviro Clark PLC,2025-02-06,Q1 2024,9,4,5,2,4,4,5.3,Renewable Energy Solutions,Finance & Regulation,Susan Walker,Adequate performance but minimal value-added contributions.,Weekly performance review meetings for 3 months,2025-06-29,Improving
TW_SUP_0143,Kennet Johnson Consulting,2024-06-11,Q3 2023,4,8,8,10,7,6,6.9,Pipeline & Network Maintenance,Network Operations & Maintenance,Nancy Anderson,Adequate performance but minimal value-added contributions.,Corrective action required within 60 days,2024-10-23,Improving
TW_SUP_0036,Flow Thompson Ltd,2023-09-13,Q4 2022,6,10,4,9,6,5,6.8,Water Treatment Plant Operations,Finance & Regulation,James Lee,Meets contractual obligations with little additional value.,Quality management system review,2024-01-18,Stable
TW_SUP_0121,Flow Robinson Dynamics,2025-02-18,Q1 2024,6,7,5,10,3,5,6.0,Facilities Management,Strategic Resource Planning,Sandra Williams,Adequate performance but minimal value-added contributions.,Formal improvement plan with 90-day reassessment,2025-07-28,Stable
TW_SUP_0126,Kennet Lewis Dynamics,2024-01-28,Q1 2023,7,6,6,4,7,7,6.3,Pipeline & Network Maintenance,Finance & Regulation,Karen King,Meets contractual obligations with little additional value.,Supplier development program participation required,2024-07-01,Improving
TW_SUP_0064,Cyber Smith Group,2023-10-10,Q4 2022,10,3,3,7,9,2,5.7,Chemicals Supply,"Health, Safety & Environment",Sarah Brown,Meets basic requirements but lacks consistency.,Supplier development program participation required,2024-02-23,Stable
TW_SUP_0097,Digital King Services,2023-11-09,Q4 2022,7,5,3,6,5,9,5.6,Leakage Detection Services,Procurement & Supply Chain,Michael Lee,Standard service with occasional quality concerns.,Joint process improvement workshops scheduled,2024-04-11,Improving
TW_SUP_0117,Enviro Scott Engineering,2024-03-28,Q2 2023,10,7,4,4,10,3,6.8,Civil Engineering & Construction,"Health, Safety & Environment",Linda Walker,Adequate performance but minimal value-added contributions.,Monthly executive reviews until performance stabilizes,2024-09-10,Declining
TW_SUP_0149,Cyber Hall Consulting,2024-01-21,Q1 2023,5,3,9,6,5,5,5.4,Facilities Management,Water Production & Treatment,Mary Lewis,Meets contractual obligations with little additional value.,Corrective action required within 60 days,2024-06-30,Declining
TW_SUP_0040,Severn Jones Ltd,2024-08-15,Q3 2023,10,8,5,2,3,2,6.2,Customer Service Solutions,Customer Operations & Retail,Michael White,Adequate performance but minimal value-added contributions.,Corrective action required within 60 days,2024-11-28,Stable
TW_SUP_0120,Hydro Jones Dynamics,2023-09-29,Q4 2022,10,7,4,8,6,2,6.6,Customer Service Solutions,Customer Operations & Retail,Joseph Green,Meets contractual obligations with little additional value.,Quality management system review,2024-01-31,Stable
TW_SUP_0031,Data Hall Systems,2023-11-30,Q4 2022,6,5,5,2,5,4,4.9,Customer Service Solutions,"Health, Safety & Environment",Richard Green,Below standard performance with significant quality issues.,Supplier development program participation required,2024-04-10,Significantly Declining
TW_SUP_0094,UK Allen Services,2025-01-09,Q1 2024,9,6,7,2,9,10,7.3,Leakage Detection Services,"Health, Safety & Environment",Robert Johnson,Solid service delivery with good communication.,Joint process improvement workshops scheduled,2025-06-08,Improving
TW_SUP_0117,Enviro Clark Engineering,2023-12-14,Q1 2023,8,10,3,10,7,6,7.4,Renewable Energy Solutions,Asset Management Strategy,Jennifer Jackson,Reliable performance with occasional excellence in key areas.,Monthly executive reviews until performance stabilizes,2024-06-03,Stable
TW_SUP_0105,Pipe Taylor Engineering,2024-07-19,Q3 2023,7,4,5,3,9,4,5.4,IT & Technology Solutions,Capital Delivery Programmes,David Johnson,Meets basic requirements but lacks consistency.,Corrective action required within 60 days,2024-11-14,Stable
TW_SUP_0150,Data Clark Consulting,2024-04-15,Q2 2023,3,4,5,4,9,7,4.8,Waste Management & Sludge Treatment,IT & Digital Transformation,Patricia Martin,Inconsistent quality and reliability causing operational impacts.,Supplier development program participation required,2024-08-05,Significantly Declining
TW_SUP_0139,Pipe Harris Consulting,2024-01-30,Q1 2023,4,8,7,6,4,5,5.9,Facilities Management,Customer Operations & Retail,Anthony Lewis,Meets basic requirements but lacks consistency.,Monthly executive reviews until performance stabilizes,2024-06-28,Stable
